UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.625953674316406
50.0,LRU, 2001,10,1000,11 ,989, 0.011,15.624046325683594
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.625953674316406
50.0,FIFO, 2001,10,1000,11 ,989, 0.011,15.627384185791016
50.0,LRU, 2001,10,1000,24 ,976, 0.024,15.622138977050781
50.0,LFU, 2001,10,1000,27 ,973, 0.027,15.625238418579102
50.0,FIFO, 2001,10,1000,24 ,976, 0.024,15.624046325683594
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.625
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.625953674316406
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.624046325683594
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.624761581420898
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.625476837158203
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.626668930053711
50.0,LRU, 2001,10,1000,14 ,986, 0.014,15.623331069946289
50.0,LFU, 2001,10,1000,21 ,979, 0.021,0.0
50.0,FIFO, 2001,10,1000,14 ,986, 0.014,0.0
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.645027160644531
50.0,LFU, 2001,10,1000,18 ,982, 0.018,31.357288360595703
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,23.90265464782715
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.663385391235352
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.628576278686523
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.637874603271484
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.59758186340332
50.0,LFU, 2001,10,1000,16 ,984, 0.016,10.256528854370117
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,8.05211067199707
50.0,LRU, 2001,10,1000,25 ,975, 0.025,15.974283218383789
50.0,LFU, 2001,10,1000,20 ,980, 0.02,16.191482543945312
50.0,FIFO, 2001,10,1000,25 ,975, 0.025,15.630245208740234
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.622615814208984
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.628576278686523
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.622138977050781
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.65098762512207
50.0,LFU, 2001,10,1000,13 ,987, 0.013,15.601396560668945
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.620708465576172
50.0,LRU, 2001,10,1000,27 ,973, 0.027,15.653848648071289
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.625
50.0,FIFO, 2001,10,1000,27 ,973, 0.027,15.603780746459961
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.645742416381836
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.624761581420898
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.625476837158203
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.61117172241211
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.638113021850586
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,0.0
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.600919723510742
50.0,LFU, 2001,10,1000,15 ,985, 0.015,15.624284744262695
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.624284744262695
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.653610229492188
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.622138977050781
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.624761581420898
50.0,LRU, 2001,10,1000,29 ,971, 0.029,18.082380294799805
50.0,LFU, 2001,10,1000,15 ,985, 0.015,21.7740535736084
50.0,FIFO, 2001,10,1000,29 ,971, 0.029,23.85568618774414
50.0,LRU, 2001,10,1000,12 ,988, 0.012,32.103538513183594
50.0,LFU, 2001,10,1000,20 ,980, 0.02,19.31476593017578
50.0,FIFO, 2001,10,1000,12 ,988, 0.012,16.050338745117188
50.0,LRU, 2001,10,1000,25 ,975, 0.025,15.981912612915039
50.0,LFU, 2001,10,1000,23 ,977, 0.023,23.76866340637207
50.0,FIFO, 2001,10,1000,25 ,975, 0.025,15.631914138793945
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.645027160644531
50.0,LFU, 2001,10,1000,15 ,985, 0.015,15.625
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.600919723510742
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.64931869506836
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.594244003295898
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.655517578125
50.0,LRU, 2001,10,1000,21 ,979, 0.021,0.0
50.0,LFU, 2001,10,1000,12 ,988, 0.012,15.60664176940918
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,0.0
50.0,LRU, 2001,10,1000,24 ,976, 0.024,0.0
50.0,LFU, 2001,10,1000,28 ,972, 0.028,15.638351440429688
50.0,FIFO, 2001,10,1000,24 ,976, 0.024,15.618085861206055
50.0,LRU, 2001,10,1000,23 ,977, 0.023,15.629053115844727
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.617609024047852
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,15.624284744262695
50.0,LRU, 2001,10,1000,23 ,977, 0.023,15.630483627319336
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.645980834960938
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,15.625476837158203
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.610694885253906
50.0,LFU, 2001,10,1000,28 ,972, 0.028,15.610694885253906
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.65408706665039
50.0,LRU, 2001,10,1000,15 ,985, 0.015,15.630245208740234
50.0,LFU, 2001,10,1000,23 ,977, 0.023,15.620946884155273
50.0,FIFO, 2001,10,1000,15 ,985, 0.015,16.095638275146484
